case_id,region,side,i_x,j_span,x_m,y_m,z_m,valid_mask,is_leading_edge_near,is_cap_mask,is_true_nose_cap,is_index0,included_in_tauber_audit,excluded_reason,local_sweep_deg,Ma_inf,Ma_normal_eff,R_curv_local_m,R_curv_status,R_curv_estimation_method,x_phys_baseline_m,q_lam_baseline,q_tauber_ref_readonly,q_tauber_over_baseline,tauber_direction_sign
ma6_a5_h30km,aft_body,windward,66,0,2.969034788791087,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,2.969034788791087,20926.789317777384,nan,nan,nan
ma6_a5_h30km,aft_body,windward,67,0,3.0140323038774377,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,3.0140323038774377,20770.03213441932,nan,nan,nan
ma6_a5_h30km,aft_body,windward,68,0,3.059029818963789,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,3.059029818963789,20616.745669458895,nan,nan,nan
ma6_a5_h30km,aft_body,windward,69,0,3.10402733405014,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,3.10402733405014,20466.803710987504,nan,nan,nan
ma6_a5_h30km,aft_body,windward,70,0,3.1490248491364907,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,3.1490248491364907,20320.086380561035,nan,nan,nan
ma6_a5_h30km,aft_body,windward,71,0,3.194022364222842,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,3.194022364222842,20176.479730345603,nan,nan,nan
ma6_a5_h30km,aft_body,windward,72,0,3.2390198793091924,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,3.2390198793091924,20035.875371145834,nan,nan,nan
ma6_a5_h30km,aft_body,windward,73,0,3.2840173943955437,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,3.2840173943955437,19898.170128556132,nan,nan,nan
ma6_a5_h30km,aft_body,windward,74,0,3.3290149094818946,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,3.3290149094818946,19763.265724756344,nan,nan,nan
ma6_a5_h30km,aft_body,windward,75,0,3.3740124245682455,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,3.3740124245682455,19631.068483721527,nan,nan,nan
ma6_a5_h30km,aft_body,windward,76,0,3.4190099396545968,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,3.4190099396545968,19501.489057836727,nan,nan,nan
ma6_a5_h30km,aft_body,windward,77,0,3.4640074547409476,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,3.4640074547409476,19374.442174103817,nan,nan,nan
ma6_a5_h30km,aft_body,windward,78,0,3.5090049698272985,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,3.5090049698272985,19249.84639830238,nan,nan,nan
ma6_a5_h30km,aft_body,windward,79,0,3.5540024849136493,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,3.5540024849136493,19127.62391562261,nan,nan,nan
ma6_a5_h30km,aft_body,windward,80,0,3.599,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,3.599,19007.700326427686,nan,nan,nan
ma6_a5_h30km,cap_mask,windward,81,1,0.013652222727272725,0.025775674999999998,0.0,1,0,1,0,1,0,not_leading_edge_near,71.55,6.0,1.8988618030895168,827.211647501839,available,phi_gradient,0.013652222727272725,345386.2670036367,nan,nan,nan
ma6_a5_h30km,true_nose_cap,windward,82,1,0.05846906994318182,0.025775674999999998,0.0,1,0,0,1,0,0,not_leading_edge_near,71.55,6.0,1.8988618030895168,827.211647501839,available,phi_gradient,0.05846906994318182,175927.99090782757,nan,nan,nan
ma6_a5_h30km,true_nose_cap,windward,83,1,0.10328591715909091,0.025775674999999998,0.0,1,0,0,1,0,0,not_leading_edge_near,71.55,6.0,1.8988618030895168,827.211647501839,available,phi_gradient,0.10328591715909091,135895.23755287204,nan,nan,nan
ma6_a5_h30km,true_nose_cap,windward,84,1,0.14810276437500003,0.025775674999999998,0.0,1,0,0,1,0,0,not_leading_edge_near,71.55,6.0,1.8988618030895168,827.211647501839,available,phi_gradient,0.14810276437500003,107892.29014450964,nan,nan,nan
ma6_a5_h30km,windward_body,windward,85,1,0.19291961159090912,0.025775674999999998,0.0,1,0,0,0,0,0,not_leading_edge_near,71.55,6.0,1.8988618030895168,827.211647501839,available,phi_gradient,0.19291961159090912,92412.44671880778,nan,nan,nan
ma6_a5_h30km,windward_body,windward,86,1,0.2377364588068182,0.025775674999999998,0.0,1,0,0,0,0,0,not_leading_edge_near,71.55,6.0,1.8988618030895168,827.211647501839,available,phi_gradient,0.2377364588068182,78248.61480468442,nan,nan,nan
ma6_a5_h30km,windward_body,windward,87,1,0.2825533060227273,0.025775674999999998,0.0,1,0,0,0,0,0,not_leading_edge_near,71.55,6.0,1.8988618030895168,827.211647501839,available,phi_gradient,0.2825533060227273,70683.05655222072,nan,nan,nan
ma6_a5_h30km,windward_body,windward,88,1,0.32737015323863644,0.025775674999999998,0.0,1,0,0,0,0,0,not_leading_edge_near,71.55,6.0,1.8988618030895168,827.211647501839,available,phi_gradient,0.32737015323863644,63694.23882074823,nan,nan,nan
ma6_a5_h30km,windward_body,windward,89,1,0.3721870004545455,0.025775674999999998,0.0,1,0,0,0,0,0,not_leading_edge_near,71.55,6.0,1.8988618030895168,827.211647501839,available,phi_gradient,0.3721870004545455,59058.82249282757,nan,nan,nan
ma6_a5_h30km,windward_body,windward,90,1,0.4170038476704546,0.025775674999999998,0.0,1,0,0,0,0,0,not_leading_edge_near,71.55,6.0,1.8988618030895168,827.211647501839,available,phi_gradient,0.4170038476704546,59265.10800766085,nan,nan,nan
ma6_a5_h30km,windward_body,windward,91,1,0.4618206948863637,0.025775674999999998,0.0,1,0,0,0,0,0,not_leading_edge_near,71.55,6.0,1.8988618030895168,827.211647501839,available,phi_gradient,0.4618206948863637,56223.81812402762,nan,nan,nan
ma6_a5_h30km,windward_body,windward,92,1,0.5066375421022727,0.025775674999999998,0.0,1,0,0,0,0,0,not_leading_edge_near,71.55,6.0,1.8988618030895168,827.211647501839,available,phi_gradient,0.5066375421022727,53607.30720580863,nan,nan,nan
ma6_a5_h30km,windward_body,windward,93,1,0.5514543893181819,0.025775674999999998,0.0,1,0,0,0,0,0,not_leading_edge_near,71.55,6.0,1.8988618030895168,827.211647501839,available,phi_gradient,0.5514543893181819,51325.08909266284,nan,nan,nan
ma6_a5_h30km,windward_body,windward,94,1,0.596271236534091,0.025775674999999998,0.0,1,0,0,0,0,0,not_leading_edge_near,71.55,6.0,1.8988618030895168,827.211647501839,available,phi_gradient,0.596271236534091,45549.646206910176,nan,nan,nan
ma6_a5_h30km,windward_body,windward,95,1,0.6410880837500001,0.025775674999999998,0.0,1,0,0,0,0,0,not_leading_edge_near,71.55,6.0,1.8988618030895168,827.211647501839,available,phi_gradient,0.6410880837500001,43892.737362535205,nan,nan,nan
ma6_a5_h30km,windward_body,windward,96,1,0.6859049309659092,0.025775674999999998,0.0,1,0,0,0,0,0,not_leading_edge_near,71.55,6.0,1.8988618030895168,827.211647501839,available,phi_gradient,0.6859049309659092,43029.33468279481,nan,nan,nan
ma6_a5_h30km,windward_body,windward,97,1,0.7307217781818183,0.025775674999999998,0.0,1,0,0,0,0,0,not_leading_edge_near,71.55,6.0,1.8988618030895168,827.211647501839,available,phi_gradient,0.7307217781818183,41707.05036774681,nan,nan,nan
ma6_a5_h30km,windward_body,windward,98,1,0.7755386253977274,0.025775674999999998,0.0,1,0,0,0,0,0,not_leading_edge_near,71.55,6.0,1.8988618030895168,827.211647501839,available,phi_gradient,0.7755386253977274,40518.677445627865,nan,nan,nan
ma6_a5_h30km,windward_body,windward,99,1,0.8203554726136365,0.025775674999999998,0.0,1,0,0,0,0,0,not_leading_edge_near,71.55,6.0,1.8988618030895168,827.211647501839,available,phi_gradient,0.8203554726136365,40109.34101022315,nan,nan,nan
ma6_a5_h30km,windward_body,windward,100,1,0.8651723198295456,0.025775674999999998,0.0,1,0,0,0,0,0,not_leading_edge_near,71.55,6.0,1.8988618030895168,827.211647501839,available,phi_gradient,0.8651723198295456,39109.184303177455,nan,nan,nan
ma6_a5_h30km,windward_body,windward,101,1,0.9099891670454546,0.025775674999999998,0.0,1,0,0,0,0,0,not_leading_edge_near,71.55,6.0,1.8988618030895168,827.211647501839,available,phi_gradient,0.9099891670454546,38168.99785627781,nan,nan,nan
ma6_a5_h30km,windward_body,windward,102,1,0.9548060142613638,0.025775674999999998,0.0,1,0,0,0,0,0,not_leading_edge_near,71.55,6.0,1.8988618030895168,827.211647501839,available,phi_gradient,0.9548060142613638,37367.52573262458,nan,nan,nan
ma6_a5_h30km,windward_body,windward,103,1,0.9996228614772729,0.025775674999999998,0.0,1,0,0,0,0,0,not_leading_edge_near,71.55,6.0,1.8988618030895168,827.211647501839,available,phi_gradient,0.9996228614772729,36588.77777791893,nan,nan,nan
ma6_a5_h30km,windward_body,windward,104,1,1.0444397086931818,0.025775674999999998,0.0,1,0,0,0,0,0,not_leading_edge_near,71.55,6.0,1.8988618030895168,827.211647501839,available,phi_gradient,1.0444397086931818,36131.17554104987,nan,nan,nan
ma6_a5_h30km,windward_body,windward,105,1,1.089256555909091,0.025775674999999998,0.0,1,0,0,0,0,0,not_leading_edge_near,71.55,6.0,1.8988618030895168,827.211647501839,available,phi_gradient,1.089256555909091,35440.3576052888,nan,nan,nan
ma6_a5_h30km,windward_body,windward,106,1,1.134073403125,0.025775674999999998,0.0,1,0,0,0,0,0,not_leading_edge_near,71.55,6.0,1.8988618030895168,827.211647501839,available,phi_gradient,1.134073403125,34770.110892216704,nan,nan,nan
