case,region,side,x_m,x_over_c,span_m,x_phys_used,Re_x_star_lam,Re_x_star_turb,re_tri,re_x_over_re_tri,w_tr,q_lam,q_turb,q_LF,q_Fluent,q_ratio,p_e,p_ratio,h_r_lam_minus_h_w,h_r_turb_minus_h_w,rho_star_lam_over_rho_e,mu_star_lam_over_mu_e,rho_star_turb_over_rho_e,mu_star_turb_over_mu_e,q_turb_over_q_lam,turb_branch_active,distance_from_transition
ma6_a5_h30km,windward_body,windward,0.32737015323863644,0.08750000000000001,0.025775674999999998,0.31500000000000006,446104.03161283094,nan,2341152.6501393868,0.19054888692809968,0.0,56150.02350056534,194988.0266186994,56150.02350056534,51601.96709,1.088137268151677,4214.811858435509,1.3799430451999164,1336095.960530286,1408676.9112545175,0.5717859200841174,1.4752138092603904,0.5571635838503554,1.500364102629004,3.4726259129123282,0,nan
ma6_a5_h30km,windward_body,windward,0.3721870004545455,0.1,0.025775674999999998,0.36000000000000004,503873.1456343286,nan,2352681.035694857,0.21416976546738356,0.0,52328.29156361012,188174.26905939545,52328.29156361012,51238.44611,1.021270072306065,4159.0359174686055,1.3504219044829495,1335895.7713090137,1408539.8334128954,0.5700016741115889,1.478728018584491,0.5554029345144214,1.5039804902314542,3.5960331101322383,0,nan
ma6_a5_h30km,windward_body,windward,0.4170038476704546,0.1125,0.025775674999999998,0.405,505053.4459139256,nan,2349013.553795091,0.2150066120725255,0.0,52426.72104147486,188757.18706009566,52426.72104147486,50336.06728,1.0415339114564783,4176.663418871034,1.3471810093763672,1335959.2455402291,1408583.2968449339,0.5705676701501133,1.4776107703858052,0.5559614301336926,1.502830764193368,3.6004003933560815,0,nan
ma6_a5_h30km,windward_body,windward,0.4618206948863637,0.125,0.025775674999999998,0.45,561170.4954599174,nan,2349013.553795091,0.23889623563613946,0.0,49736.354623600644,184821.2905937572,49736.354623600644,49806.00628,0.9986015410268435,4176.663418871034,1.3398387064098156,1335959.2455402291,1408583.2968449339,0.5705676701501133,1.4776107703858052,0.5559614301336926,1.502830764193368,3.7160200419283793,0,nan
ma6_a5_h30km,windward_body,windward,0.5066375421022727,0.1375,0.025775674999999998,0.49500000000000005,617287.5450059089,nan,2349013.553795091,0.26278585919975334,0.0,47421.75345905525,181331.58660553387,47421.75345905525,49894.46803,0.950441107630249,4176.663418871034,1.3576140897989477,1335959.2455402291,1408583.2968449339,0.5705676701501133,1.4776107703858052,0.5559614301336926,1.502830764193368,3.823806025268522,0,nan
ma6_a5_h30km,windward_body,windward,0.5514543893181819,0.15000000000000002,0.025775674999999998,0.5400000000000001,673404.5945519009,nan,2349013.553795091,0.28667548276336735,0.0,45402.87225903739,178203.302970592,45402.87225903739,49405.70245,0.9189804011993638,4176.663418871034,1.3723266870651505,1335959.2455402291,1408583.2968449339,0.5705676701501133,1.4776107703858052,0.5559614301336926,1.502830764193368,3.924934571405245,0,nan
ma6_a5_h30km,windward_body,windward,0.596271236534091,0.1625,0.025775674999999998,0.5850000000000001,801379.9043283084,nan,2374693.125813842,0.33746672174901077,0.0,40745.687505039765,167893.2772593693,40745.687505039765,47979.02922,0.8492395150015869,4055.4623739393196,1.339428387371811,1335518.882891163,1408281.7623213395,0.5666359406509012,1.4854197783247616,0.5520820930773095,1.5108666407267832,4.120516489962352,0,nan
ma6_a5_h30km,windward_body,windward,0.6410880837500001,0.17500000000000002,0.025775674999999998,0.6300000000000001,863024.512353563,nan,2374693.125813842,0.3634257003450886,0.0,39263.52692599673,165423.1817917745,39263.52692599673,45769.78196,0.8578482405773893,4055.4623739393196,1.3474263574217658,1335518.882891163,1408281.7623213395,0.5666359406509012,1.4854197783247616,0.5520820930773095,1.5108666407267832,4.213151358092753,0,nan
ma6_a5_h30km,windward_body,windward,0.6859049309659092,0.1875,0.025775674999999998,0.675,932546.106548828,nan,2359678.251422425,0.3952005346435197,0.0,38242.157208402474,165252.34110252303,38242.157208402474,44888.32027,0.8519400364811752,4125.701305143431,1.375603936063784,1335775.2106818347,1408457.2805638793,0.5689259686337889,1.4808577821631452,0.5543415227209513,1.5061721469860332,4.321208665138121,0,nan
ma6_a5_h30km,windward_body,windward,0.7307217781818183,0.2,0.025775674999999998,0.7200000000000001,990871.342611382,nan,2360374.4009111435,0.4197941403825127,0.0,37078.2064033916,163149.59755640727,37078.2064033916,43450.03215,0.8533527955834114,4122.4060062263,1.3802583154248365,1335763.254897253,1408449.0939435656,0.5688192447057661,1.4810695392846125,0.5542362196798656,1.5063900567077466,4.400148048733116,0,nan
