point_id,side,side_id,mach,alpha_deg,altitude_km,Tw_K,x_m,span_m,xc,yb,valid_mask,q_low_W_m2,T_e_K,p_e_Pa,rho_e_kg_m3,ma_e,v_e_m_s,mu_e_Pa_s,w_tr,re_edge,re_tri
65,leeward,-1,8.3,2.2,56.7,300.0,2.924037273704736,0.0,0.8125,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,386180.8633832778,3195516.0403750995
66,leeward,-1,8.3,2.2,56.7,300.0,2.969034788791087,0.0,0.8250000000000001,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,392122.1074353282,3195516.0403750995
67,leeward,-1,8.3,2.2,56.7,300.0,3.0140323038774377,0.0,0.8375,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,398063.35148737853,3195516.0403750995
68,leeward,-1,8.3,2.2,56.7,300.0,3.059029818963789,0.0,0.8500000000000001,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,404004.5955394291,3195516.0403750995
69,leeward,-1,8.3,2.2,56.7,300.0,3.10402733405014,0.0,0.8625,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,409945.8395914795,3195516.0403750995
70,leeward,-1,8.3,2.2,56.7,300.0,3.1490248491364907,0.0,0.875,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,415887.08364352986,3195516.0403750995
71,leeward,-1,8.3,2.2,56.7,300.0,3.194022364222842,0.0,0.8875000000000001,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,421828.3276955804,3195516.0403750995
72,leeward,-1,8.3,2.2,56.7,300.0,3.2390198793091924,0.0,0.9,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,427769.5717476307,3195516.0403750995
73,leeward,-1,8.3,2.2,56.7,300.0,3.2840173943955437,0.0,0.9125000000000001,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,433710.8157996812,3195516.0403750995
74,leeward,-1,8.3,2.2,56.7,300.0,3.3290149094818946,0.0,0.925,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,439652.05985173146,3195516.0403750995
75,leeward,-1,8.3,2.2,56.7,300.0,3.3740124245682455,0.0,0.9375,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,445593.30390378204,3195516.0403750995
76,leeward,-1,8.3,2.2,56.7,300.0,3.4190099396545968,0.0,0.9500000000000001,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,451534.5479558324,3195516.0403750995
77,leeward,-1,8.3,2.2,56.7,300.0,3.4640074547409476,0.0,0.9625,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,457475.7920078828,3195516.0403750995
78,leeward,-1,8.3,2.2,56.7,300.0,3.5090049698272985,0.0,0.9750000000000001,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,463417.0360599332,3195516.0403750995
79,leeward,-1,8.3,2.2,56.7,300.0,3.5540024849136493,0.0,0.9875,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,469358.28011198377,3195516.0403750995
80,leeward,-1,8.3,2.2,56.7,300.0,3.599,0.0,1.0,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,475299.5241640341,3195516.0403750995
81,leeward,-1,8.3,2.2,56.7,300.0,0.013652222727272725,0.025775674999999998,0.0,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,1404.4790302430827,3220845.552290357
82,leeward,-1,8.3,2.2,56.7,300.0,0.05846906994318182,0.025775674999999998,0.0125,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,5754.408064071137,3207861.642786727
83,leeward,-1,8.3,2.2,56.7,300.0,0.10328591715909091,0.025775674999999998,0.025,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,14432.054169987208,2729192.1502322927
84,leeward,-1,8.3,2.2,56.7,300.0,0.14810276437500003,0.025775674999999998,0.037500000000000006,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,20257.01316487227,2853954.100276611
85,leeward,-1,8.3,2.2,56.7,300.0,0.19291961159090912,0.025775674999999998,0.05,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,26605.40115427177,2888328.715856923
86,leeward,-1,8.3,2.2,56.7,300.0,0.2377364588068182,0.025775674999999998,0.0625,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,32125.4039775765,3001690.840670126
87,leeward,-1,8.3,2.2,56.7,300.0,0.2825533060227273,0.025775674999999998,0.07500000000000001,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,37426.58242789871,3070618.3529550014
88,leeward,-1,8.3,2.2,56.7,300.0,0.32737015323863644,0.025775674999999998,0.08750000000000001,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,41858.55432759401,3184193.042832147
89,leeward,-1,8.3,2.2,56.7,300.0,0.3721870004545455,0.025775674999999998,0.1,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,46697.72020963616,3245583.725904618
90,leeward,-1,8.3,2.2,56.7,300.0,0.4170038476704546,0.025775674999999998,0.1125,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,51037.63079837447,3220845.552290357
91,leeward,-1,8.3,2.2,56.7,300.0,0.4618206948863637,0.025775674999999998,0.125,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,56708.478664860515,3220845.552290357
92,leeward,-1,8.3,2.2,56.7,300.0,0.5066375421022727,0.025775674999999998,0.1375,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,62379.32653134657,3220845.552290357
93,leeward,-1,8.3,2.2,56.7,300.0,0.5514543893181819,0.025775674999999998,0.15000000000000002,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,68050.17439783261,3220845.552290357
94,leeward,-1,8.3,2.2,56.7,300.0,0.596271236534091,0.025775674999999998,0.1625,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,72537.89969769194,3364997.9672736875
