representative_case,applies_to_phase9_cases,sheet,canonical_index,grid_j,grid_i,x_over_c,y_over_b,x_m,span_m,z_m,failure_reason,projected_candidate_triangle_ids,projected_candidate_max_abs_nz,current_sampler_upper_triangle_id,current_sampler_lower_triangle_id,nearest_any_stl_triangle_id,distance_to_any_stl_projected_support_m,nearest_eligible_skin_triangle_id,nearest_eligible_skin_triangle_sheet_code,distance_to_eligible_skin_support_m,nearest_same_sheet_triangle_id,distance_to_same_sheet_support_m,nearest_outline_segment,outline_region,distance_to_outline_boundary_m,expected_domain,point_classification,representation_classification,unknown
ma8_a10_h40km,12,upper,2187,27,0,0,0.67500000000000004,2.0738109092334827,0.69594322499999994,,outside_stl_support,,,,,2217,0.00030904217477122683,2185,1,0.0040721719378592402,2185,0.0040721719378592402,181,LE,1.1102230246251565e-16,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,2188,27,1,0.012500000000000001,0.67500000000000004,2.092875772868064,0.69594322499999994,,geometric_sheet_mismatch,2184;4633,0.55347427557284912,4633,4633,2184,0,4633,2,0,2187,9.3595387324833855e-05,181,LE,0.0058913694690115176,outside upper graph-skin; lower triangle must never satisfy upper selection,valid_exclusion_from_upper_graph_skin,defect_sampler_sheet_prefilter_missing,0
ma8_a10_h40km,12,upper,2268,28,0,0,0.70000000000000007,2.1531402409784612,0.72171890000000005,,outside_stl_support,,,,,2217,0.00030905463400873263,2185,1,0.0042153475609818629,2185,0.0042153475609818629,181,LE,0,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,2349,29,0,0,0.72500000000000009,2.2324695727234403,0.74749457500000005,,outside_stl_support,,,,,2217,0.00030906709324599556,2185,1,0.0043585231841044101,2185,0.0043585231841044101,181,LE,1.1102230246251565e-16,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,2430,30,0,0,0.75,2.3117989044684184,0.77327024999999994,,outside_stl_support,,,,,4538,0.00030907955248350136,2185,1,0.0045016988072271689,2185,0.0045016988072271689,181,LE,4.5775667985222375e-16,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,2511,31,0,0,0.77500000000000002,2.391128236213397,0.79904592499999993,,outside_stl_support,,,,,2217,0.00030909201172086989,2185,1,0.0046448744303497916,2185,0.0046448744303497916,181,LE,1.1102230246251565e-16,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,2512,31,1,0.012500000000000001,0.77500000000000002,2.4062266332607294,0.79904592499999993,,outside_stl_support,2208;4511,0.4479698426015874,,,2208,0,2185,1,3.8657936120963979e-06,2185,3.8657936120963979e-06,181,LE,0.0046656633428168231,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,2592,32,0,0,0.80000000000000004,2.4704575679583756,0.82482159999999993,,outside_stl_support,,,,,2217,0.0003091044709584073,2185,1,0.0047880500534723085,2185,0.0047880500534723085,181,LE,1.1102230246251565e-16,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,2593,32,1,0.012500000000000001,0.80000000000000004,2.4845643483588957,0.82482159999999993,,outside_stl_support,2208;4522,0.410915873194382,,,2208,0,2185,1,0.00045184870241937747,2185,0.00045184870241937747,181,LE,0.004359236811268115,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,2673,33,0,0,0.82500000000000007,2.5757314331024568,0.85059727500000004,,outside_stl_support,,,,,1965,0.00017374145069958078,5748,2,0.0049480491399426134,1975,0.0049652114538227222,182,LE,0,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,2674,33,1,0.012500000000000001,0.82500000000000007,2.588522290188676,0.85059727500000004,,outside_stl_support,1966;5758,0.33304844071967621,,,1966,0,5748,2,0.0027410550243899888,1975,0.0027580928356812666,182,LE,0.0022211074496170571,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,2675,33,2,0.025000000000000001,0.82500000000000007,2.6013131472748952,0.85059727500000004,,outside_stl_support,1976;5759,0.42303523083541805,,,1976,0,5748,2,0.00053406090883740772,1975,0.0005509742175397014,182,LE,0.0044422148992341141,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,2754,34,0,0,0.85000000000000009,2.721912656944963,0.87637295000000004,,outside_stl_support,,,,,1965,0.0001737281210325828,5748,2,0.0051143428177011872,1975,0.0051300382941344138,182,LE,0,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,2755,34,1,0.012500000000000001,0.85000000000000009,2.732876248733151,0.87637295000000004,,outside_stl_support,1974;5763,0.25510934315742428,,,1974,0,5748,2,0.0032226335757988885,1975,0.0032382223357274209,182,LE,0.0019038063853860534,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,2756,34,2,0.025000000000000001,0.85000000000000009,2.7438398405213391,0.87637295000000004,,outside_stl_support,1977;5759,0.4222343264194478,,,1977,0,5748,2,0.0013309243338965905,1975,0.0013464063773202415,182,LE,0.0038076127707721069,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,2835,35,0,0,0.875,2.8680938807874687,0.90214862499999993,,outside_stl_support,,,,,1965,0.00017371479136547548,5748,2,0.0052806364954596507,1975,0.0052948651344460291,182,LE,0,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,2836,35,1,0.012500000000000001,0.875,2.8772302072776252,0.90214862499999993,,outside_stl_support,1974;5763,0.25510934315742428,,,1974,0,5748,2,0.0037042121272078217,1975,0.0037183518357734985,182,LE,0.00158650532115505,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,2837,35,2,0.025000000000000001,0.875,2.8863665337677822,0.90214862499999993,,outside_stl_support,1977;5759,0.4222343264194478,,,1977,0,5748,2,0.0021277877589558829,1975,0.0021418385371008582,182,LE,0.0031730106423101772,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,2838,35,3,0.037500000000000006,0.875,2.8955028602579387,0.90214862499999993,,outside_stl_support,1976;5760,0.42303523083541805,,,1976,0,5748,2,0.00055136339070405312,1975,0.00056532523842836016,182,LE,0.0047595159634652266,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
