case,idx,x_m,span_m,xc,region,q_w,q_lam_w,q_turb_w,w_tr,re_edge,re_x_star,re_tri,re_x_over_re_tri,T_e_w,p_e_w,rho_e_w,h_r_lam_w,h_r_turb_w,h_star_lam_w,q_Fluent_matched,p_Fluent_matched,q_ratio,p_ratio,dist,dx,dspan
ma6_a5_h30km,67,3.0140323038774377,0.0,0.8375,aft_body,124625.0283775447,18299.41256061539,124625.0283775447,1.0,10853181.006617611,4209262.302037214,2339851.9343912774,1.7989438734003789,346.3106174256874,4221.172657895118,0.042470308239337146,1637618.670065212,1710192.4614125735,608477.9151579351,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,68,3.059029818963789,0.0,0.8500000000000001,aft_body,124256.30881123099,18164.35969964169,124256.30881123099,1.0,11015168.782835783,4272087.112515381,2339851.9343912774,1.8257937819585932,346.3106174256874,4221.172657895118,0.042470308239337146,1637618.670065212,1710192.4614125735,608477.9151579351,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,69,3.10402733405014,0.0,0.8625,aft_body,123894.03935267974,18032.25351220505,123894.03935267974,1.0,11177156.559053956,4334911.922993548,2339851.9343912774,1.852643690516808,346.3106174256874,4221.172657895118,0.042470308239337146,1637618.670065212,1710192.4614125735,608477.9151579351,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,70,3.1490248491364907,0.0,0.875,aft_body,123538.01611004953,17902.98837954226,123538.01611004953,1.0,11339144.33527213,4397736.733471715,2339851.9343912774,1.8794935990750223,346.3106174256874,4221.172657895118,0.042470308239337146,1637618.670065212,1710192.4614125735,608477.9151579351,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,71,3.194022364222842,0.0,0.8875000000000001,aft_body,123188.04443358684,17776.46390804733,123188.04443358684,1.0,11501132.111490306,4460561.543949883,2339851.9343912774,1.9063435076332373,346.3106174256874,4221.172657895118,0.042470308239337146,1637618.670065212,1710192.4614125735,608477.9151579351,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,72,3.2390198793091924,0.0,0.9,aft_body,122843.93837345469,17652.584601546223,122843.93837345469,1.0,11663119.887708478,4523386.354428051,2339851.9343912774,1.9331934161914521,346.3106174256874,4221.172657895118,0.042470308239337146,1637618.670065212,1710192.4614125735,608477.9151579351,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,73,3.2840173943955437,0.0,0.9125000000000001,aft_body,122505.52017639746,17531.25955834936,122505.52017639746,1.0,11825107.66392665,4586211.164906219,2339851.9343912774,1.960043324749667,346.3106174256874,4221.172657895118,0.042470308239337146,1637618.670065212,1710192.4614125735,608477.9151579351,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,74,3.3290149094818946,0.0,0.925,aft_body,122172.6198179704,17412.402190898054,122172.6198179704,1.0,11987095.440144824,4649035.975384386,2339851.9343912774,1.9868932333078815,346.3106174256874,4221.172657895118,0.042470308239337146,1637618.670065212,1710192.4614125735,608477.9151579351,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,75,3.3740124245682455,0.0,0.9375,aft_body,121845.07456737764,17295.929966039897,121845.07456737764,1.0,12149083.216362996,4711860.785862554,2339851.9343912774,2.0137431418660965,346.3106174256874,4221.172657895118,0.042470308239337146,1637618.670065212,1710192.4614125735,608477.9151579351,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,76,3.4190099396545968,0.0,0.9500000000000001,aft_body,121522.72858224416,17181.764164163058,121522.72858224416,1.0,12311070.992581172,4774685.5963407215,2339851.9343912774,2.040593050424311,346.3106174256874,4221.172657895118,0.042470308239337146,1637618.670065212,1710192.4614125735,608477.9151579351,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,77,3.4640074547409476,0.0,0.9625,aft_body,121205.4325308988,17069.829655592115,121205.4325308988,1.0,12473058.768799346,4837510.406818889,2339851.9343912774,2.0674429589825256,346.3106174256874,4221.172657895118,0.042470308239337146,1637618.670065212,1710192.4614125735,608477.9151579351,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,78,3.5090049698272985,0.0,0.9750000000000001,aft_body,120893.04323996982,16960.05469280223,120893.04323996982,1.0,12635046.545017518,4900335.217297057,2339851.9343912774,2.0942928675407404,346.3106174256874,4221.172657895118,0.042470308239337146,1637618.670065212,1710192.4614125735,608477.9151579351,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,79,3.5540024849136493,0.0,0.9875,aft_body,120585.42336529664,16852.370717146106,120585.42336529664,1.0,12797034.321235688,4963160.027775222,2339851.9343912774,2.1211427760989543,346.3106174256874,4221.172657895118,0.042470308239337146,1637618.670065212,1710192.4614125735,608477.9151579351,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,80,3.599,0.0,1.0,aft_body,120282.44108434093,16746.712178910584,120282.44108434093,1.0,12959022.097453864,5025984.838253391,2339851.9343912774,2.1479926846571695,346.3106174256874,4221.172657895118,0.042470308239337146,1637618.670065212,1710192.4614125735,608477.9151579351,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,122,1.8511429585795458,0.025775674999999998,0.5125000000000001,aft_body,138714.2870910551,23902.98497645322,138714.2870910551,1.0,6364018.549291655,2468666.388612419,2339457.5950025544,1.0552302353698886,346.35587692922013,4223.1038082415125,0.042484185762734085,1637625.5598842173,1710197.179156678,608492.1669424104,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,123,1.8959598057954548,0.025775674999999998,0.525,aft_body,137608.73271973373,23438.43745505812,137608.73271973373,1.0,6616922.685253433,2566480.2484990405,2339693.647722243,1.0969300408186262,346.32878264015375,4221.947662635569,0.042475877752436754,1637621.435341676,1710194.3549117679,608483.635210108,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,124,1.9407766530113637,0.025775674999999998,0.5375,aft_body,136951.6742596056,23167.527918344305,136951.6742596056,1.0,6770865.274955892,2625922.8734769262,2339905.5442279773,1.1222345619696015,346.3044656330779,4220.910219485849,0.04246842217929184,1637617.73358261,1710191.8201641936,608475.9780173224,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,125,1.9855935002272729,0.025775674999999998,0.55,aft_body,136329.85188767329,22905.121878191512,136329.85188767329,1.0,6926963.628617319,2686473.3135626134,2339896.746695575,1.1481161796376176,346.3054751412337,4220.953284786309,0.042468731677988356,1637617.887259251,1710191.9253929474,608476.2959017784,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,126,2.030410347443182,0.025775674999999998,0.5625,aft_body,135724.73381933584,22651.472508941144,135724.73381933584,1.0,7083043.271963331,2747017.2459807186,2339887.767830564,1.173995301718093,346.30650546488533,4220.997238392902,0.0424690475597711,1637618.0441046187,1710192.0327914597,608476.6203408348,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,127,2.075227194659091,0.025775674999999998,0.5750000000000001,aft_body,135135.2486633201,22405.886668582014,135135.2486633201,1.0,7239269.862563613,2807622.865635525,2339875.683308978,1.1999025784417203,346.30789217462086,4221.056395945801,0.04246947270640886,1637618.255202362,1710192.1773388174,608477.057002458,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,128,2.120044041875,0.025775674999999998,0.5875,aft_body,134559.9234464208,22168.0954847219,134559.9234464208,1.0,7395428.803912655,2868189.2429767195,2339873.5778708053,1.2257881238125101,346.30813377699945,4221.0667028536745,0.04246954677872442,1637618.2919813045,1710192.2025228806,608477.1330807346,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,129,2.1648608890909093,0.025775674999999998,0.6000000000000001,aft_body,134004.1455833862,21939.220102381387,134004.1455833862,1.0,7550709.511622875,2928439.260176145,2339854.269551521,1.2515477131562718,346.310349457447,4221.1612259992835,0.042470226082693706,1637618.629272615,1710192.4334801948,608477.830777301,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,130,2.2096777363068183,0.025775674999999998,0.6125,aft_body,133477.91730780865,21715.714860892247,133477.91730780865,1.0,7709248.205666111,2990285.9807618028,2339603.1187705398,1.278116769793501,346.3391729730877,4222.391003796053,0.042479063658895075,1637623.0170539734,1710195.4379756127,608486.907026501,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,131,2.2544945835227272,0.025775674999999998,0.625,aft_body,132923.19788428347,21498.978617151966,132923.19788428347,1.0,7863243.223620582,3049671.561848615,2339840.313803846,1.303367389585149,346.3119509387864,4221.229547737506,0.042470717083833,1637618.8730648735,1710192.6004148398,608478.3350684466,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,132,2.2993114307386366,0.025775674999999998,0.6375000000000001,aft_body,132428.2440818923,21290.232269536566,132428.2440818923,1.0,8020762.355301563,3111163.4670958277,2339571.94155901,1.3298002988626438,346.3427514781601,4222.543701364921,0.042480160941087045,1637623.5618070164,1710195.8109905582,608488.0338634979,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,133,2.3441282779545456,0.025775674999999998,0.65,aft_body,131919.07787993026,21085.988273097726,131919.07787993026,1.0,8176951.659079364,3171756.0515012667,2339566.339106325,1.3557025498635034,346.343394534957,4222.571141512033,0.04248035812432638,1637623.6596990516,1710195.8780212847,608488.2363559282,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,134,2.388945125170455,0.025775674999999998,0.6625000000000001,aft_body,131399.0247995821,20887.38836771685,131399.0247995821,1.0,8330634.310919561,3230970.8464383464,2339822.9666202124,1.380861241440571,346.31394162820953,4221.314474812056,0.04247132741774983,1637619.1761059756,1710192.8079196191,608478.9619174928,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,135,2.433761972386364,0.025775674999999998,0.675,aft_body,130941.28041788047,20696.181317801773,130941.28041788047,1.0,8488254.266370537,3292566.3953497284,2339528.7735158536,1.4073630692738375,346.34770644109796,4222.75513996343,0.04248168031662379,1637624.3160971683,1710196.32748423,608489.594133902,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,136,2.478578819602273,0.025775674999999998,0.6875,aft_body,130238.58036774435,20495.2354397092,130238.58036774435,1.0,8631762.748379894,3344541.46183562,2341832.9662714005,1.4281725084606283,346.0834771238475,4211.490470948813,0.04240070328568271,1637584.092673803,1710168.784842211,608406.3908508874,nan,nan,nan,nan,nan,nan,nan
