case,idx,x_m,span_m,x_over_c,y_over_b,phi_rad,cp_low,cp_fluent,p_e_low,p_wall_fluent,p_e_over_p_wall,q_low,q_fluent,q_ratio,q_lam_low,rho_e,ma_e
ma6_a5_h30km,2091,3.3043266430051172,0.644391875,0.8250000000000001,0.625,0.3027472157282069,0.09448718651894754,0.015438611687627697,3958.9047551259796,1627.321127,2.4327741399291622,28174.162742232777,42976.68703,0.6555685114249435,28174.162742232777,0.04056829883156615,4.725420247835242
ma6_a5_h30km,2092,3.325374739933323,0.644391875,0.8375,0.625,0.3027472157282069,0.09448718651894754,0.05890585777756261,3958.9047551259796,2910.588369,1.3601733578307924,27963.11735309645,66951.73335,0.4176608424298018,27963.11735309645,0.04056829883156615,4.725420247835242
ma6_a5_h30km,2093,3.346422836861529,0.644391875,0.8500000000000001,0.625,0.30222576635072107,0.09430579212938821,0.05872401958228693,3953.5524067854817,2905.220028,1.3608444003145503,27750.187571999893,66931.44575,0.41460612812177144,27750.187571999893,0.04052911454013594,4.726538115451624
ma6_a5_h30km,2094,3.367470933789735,0.644391875,0.8625,0.625,0.30222576635072107,0.09430579212938821,0.016106737961904625,3953.5524067854817,1647.045969,2.400389838047976,27548.365347522547,42863.44289,0.6427007139445058,27548.365347522547,0.04052911454013594,4.726538115451624
ma6_a5_h30km,2095,3.3885190307179407,0.644391875,0.875,0.625,0.30328268303016365,0.09467347378989648,0.01604982608658898,3964.4014762094803,1645.365781,2.4094347421033917,27435.349665642396,42780.16068,0.641310112667917,27435.349665642396,0.0406085243183708,4.724273973246197
ma6_a5_h30km,2096,3.409567127646147,0.644391875,0.8875000000000001,0.625,0.3038367495461104,0.09486624913642253,0.01586594467874963,3970.089638939178,1639.937119,2.420879186733731,27323.50909915627,42836.38481,0.6378574947523977,27323.50909915627,0.040650134018160373,4.723089633148895
ma6_a5_h30km,2097,3.4306152245743524,0.644391875,0.9,0.625,0.3038367495461104,0.09486624913642253,0.015913794148790864,3970.089638939178,1641.349761,2.418795635928556,27133.099050459925,42813.22875,0.6337550295236708,27133.099050459925,0.040650134018160373,4.723089633148895
ma6_a5_h30km,2098,3.4516633215025587,0.644391875,0.9125000000000001,0.625,0.3038367495461104,0.09486624913642253,0.0170658571529577,3970.089638939178,1675.361686,2.3696910775236493,26946.615060230328,42585.03951,0.6327718694238291,26946.615060230328,0.040650134018160373,4.723089633148895
ma6_a5_h30km,2099,3.4727114184307646,0.644391875,0.925,0.625,0.3038367495461104,0.09486624913642253,0.024437070448230246,3970.089638939178,1892.979258,2.0972705443871154,26763.924038109366,30896.69901,0.8662389477091703,26763.924038109366,0.040650134018160373,4.723089633148895
ma6_a5_h30km,2100,3.4937595153589704,0.644391875,0.9375,0.625,0.30470237705033126,0.09516746051094657,0.05902311560619893,3978.977390123156,2914.050128,1.365445759457147,26638.594468643503,65743.92286,0.4051871763930136,26638.594468643503,0.04071511507046274,4.721242870813
ma6_a5_h30km,2101,3.5148076122871768,0.644391875,0.9500000000000001,0.625,0.30470237705033126,0.09516746051094657,0.024584499271995856,3978.977390123156,1897.331744,2.0971437402584017,26462.760240339157,46623.81368,0.5675803447132161,26462.760240339157,0.04071511507046274,4.721242870813
ma6_a5_h30km,2102,3.535855709215382,0.644391875,0.9625,0.625,0.30470237705033126,0.09516746051094657,0.024460068741268323,3978.977390123156,1893.658228,2.101211998706641,26290.36257298488,50476.76654,0.5208408615506551,26290.36257298488,0.04071511507046274,4.721242870813
ma6_a5_h30km,2103,3.5569038061435885,0.644391875,0.9750000000000001,0.625,0.30470237705033126,0.09516746051094657,0.025202595308152866,3978.977390123156,1915.579562,2.0771663412240753,26121.290963518855,48879.98495,0.5343964608466775,26121.290963518855,0.04071511507046274,4.721242870813
ma6_a5_h30km,2104,3.5779519030717943,0.644391875,0.9875,0.625,0.30470237705033126,0.09516746051094657,0.021812727564347753,3978.977390123156,1815.501765,2.1916681475234787,25955.439820278378,51312.51464,0.5058305951750248,25955.439820278378,0.04071511507046274,4.721242870813
ma6_a5_h30km,2105,3.599,0.644391875,1.0,0.625,0.30470237705033126,0.09516746051094657,nan,3978.977390123156,nan,nan,25792.708185857326,nan,nan,25792.708185857326,0.04071511507046274,4.721242870813
ma6_a5_h30km,2106,1.9944815774885034,0.67016755,0.0,0.65,0.3239279312247761,0.10186716206770152,0.16670476901792922,4176.663418871034,6093.09529,0.6854748235639416,146464.74255153126,214781.6494,0.6819239118457541,410365.41979263496,0.04214995354172714,4.681310973676283
ma6_a5_h30km,2107,2.0145380577698973,0.67016755,0.0125,0.65,0.3239279312247761,0.10186716206770152,0.06134201062602128,4176.663418871034,2982.509998,1.4003853873656098,235461.82096243592,125811.6255,1.8715426338914596,235461.82096243592,0.04214995354172714,4.681310973676283
ma6_a5_h30km,2108,2.034594538051291,0.67016755,0.025,0.65,0.3239279312247761,0.10186716206770152,nan,4176.663418871034,nan,nan,166496.65031307185,nan,nan,166496.65031307185,0.04214995354172714,4.681310973676283
ma6_a5_h30km,2109,2.0546510183326845,0.67016755,0.037500000000000006,0.65,0.3239279312247761,0.10186716206770152,0.004687025027595183,4176.663418871034,1309.906057,3.1885213420850946,135943.9457165422,53748.7588,2.5292480933818733,135943.9457165422,0.04214995354172714,4.681310973676283
ma6_a5_h30km,2110,2.074707498614078,0.67016755,0.05,0.65,0.38407446043325755,0.12289138147748682,0.11251901943630042,4797.018580580295,4493.38968,1.067572350097242,123741.53010858355,140577.6793,0.8802359714909845,123741.53010858355,0.0465324175017492,4.568429906967469
ma6_a5_h30km,2111,2.094763978895472,0.67016755,0.0625,0.65,0.3467396161733466,0.10983465298483085,nan,4411.75771749752,nan,nan,107663.35429567494,nan,nan,107663.35429567494,0.043831301699424785,4.6364691941811875
ma6_a5_h30km,2112,2.114820459176866,0.67016755,0.07500000000000001,0.65,0.3353924505811892,0.1058695398993565,nan,4294.76034787389,nan,nan,96877.20226823293,nan,nan,96877.20226823293,0.04299784718111907,4.658444610427199
ma6_a5_h30km,2113,2.1348769394582594,0.67016755,0.08750000000000001,0.65,0.3353924505811892,0.1058695398993565,0.018002066186764393,4294.76034787389,1703.001035,2.5218777085909934,89690.86106966101,59138.64961,1.5166200388602518,89690.86106966101,0.04299784718111907,4.658444610427199
ma6_a5_h30km,2114,2.154933419739653,0.67016755,0.1,0.65,0.3149498126963109,0.09873629919644356,0.08226486971181149,4084.2820131725766,3600.207738,1.134457317577316,82699.4038685917,113943.2098,0.7257949290155218,82699.4038685917,0.04148190595741109,4.699704395833535
ma6_a5_h30km,2115,2.1749899000210466,0.67016755,0.1125,0.65,0.32813910319083445,0.10333680387635549,nan,4220.027686722895,nan,nan,78277.0918464398,nan,nan,78277.0918464398,0.042462079455699325,4.672832180015091
ma6_a5_h30km,2116,2.1950463803024407,0.67016755,0.125,0.65,0.3085524778291803,0.09650768014229875,0.021299761235090527,4018.5228376819105,1800.357652,2.232069185374235,73269.04205403464,61571.64523,1.1899802543904614,73269.04205403464,0.04100374291141111,4.713081009841073
ma6_a5_h30km,2117,2.2151028605838343,0.67016755,0.1375,0.65,0.3085524778291803,0.09650768014229875,0.0665251063608599,4018.5228376819105,3135.528594,1.2816093737341663,69859.2905483841,95224.07478,0.7336305520403619,69859.2905483841,0.04100374291141111,4.713081009841073
ma6_a5_h30km,2118,2.235159340865228,0.67016755,0.15000000000000002,0.65,0.30493447407060953,0.09524823026292203,nan,3981.3606382985736,nan,nan,66455.03660600899,nan,nan,66455.03660600899,0.04073253266899173,4.720748440999864
ma6_a5_h30km,2119,2.2552158211466216,0.67016755,0.1625,0.65,0.30084931415911775,0.09382704882451844,nan,3939.4262756544736,nan,nan,63443.14076511634,nan,nan,63443.14076511634,0.04042562492438336,4.729496528776733
